dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,location_description,realm_general,realm_specific,depth_of_collection,elevation_of_collection,lat_gg_mm_ss,long_gg_mm_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,metabolic_rate_type,acclimation_chamber,fasting_time,sensor_type,respiration_volume,delay_time,respiratory_chamber_material,incubation_time,respirometry_type,breathing_mode,life_stage_general,life_stage_specific,sex,reproductive_stage,size_type,size_units,size_value,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,resp_unit,resp_value,comments_respiration
Mesas_and_Castaneda_2023,13-02-2023,Luis_Castañeda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,Valdivia_Chile,terrestrial,terrestrial,,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,yes,,27,21,,,,,12D_12L,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,routine,0.5,,"infrared CO2 analyzer Li-6251, LI-COR ",1.4,,ethyl vinyl acetate,0.25,open,aerial,adult,adult,female,virgin female,fresh body mass,milligram,1.388,21,,,,,,,,,control,uLCO2/h/ind,3.996736,
Mesas_and_Castaneda_2023,13-02-2023,Luis_Castañeda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,Valdivia_Chile,terrestrial,terrestrial,,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,yes,,27,21,,,,,12D_12L,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,routine,0.5,,"infrared CO2 analyzer Li-6251, LI-COR ",1.4,,ethyl vinyl acetate,0.25,open,aerial,adult,adult,female,virgin female,fresh body mass,milligram,1.499,21,,,,,,,,,control,uLCO2/h/ind,3.661296,
Mesas_and_Castaneda_2023,13-02-2023,Luis_Castañeda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,Valdivia_Chile,terrestrial,terrestrial,,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,yes,,27,21,,,,,12D_12L,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,routine,0.5,,"infrared CO2 analyzer Li-6251, LI-COR ",1.4,,ethyl vinyl acetate,0.25,open,aerial,adult,adult,female,virgin female,fresh body mass,milligram,1.234,21,,,,,,,,,control,uLCO2/h/ind,3.348746,
Mesas_and_Castaneda_2023,13-02-2023,Luis_Castañeda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,Valdivia_Chile,terrestrial,terrestrial,,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,yes,,27,21,,,,,12D_12L,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,routine,0.5,,"infrared CO2 analyzer Li-6251, LI-COR ",1.4,,ethyl vinyl acetate,0.25,open,aerial,adult,adult,female,virgin female,fresh body mass,milligram,1.58,21,,,,,,,,,control,uLCO2/h/ind,3.710191,
Mesas_and_Castaneda_2023,13-02-2023,Luis_Castañeda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,Valdivia_Chile,terrestrial,terrestrial,,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,yes,,27,21,,,,,12D_12L,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,routine,0.5,,"infrared CO2 analyzer Li-6251, LI-COR ",1.4,,ethyl vinyl acetate,0.25,open,aerial,adult,adult,female,virgin female,fresh body mass,milligram,1.635,21,,,,,,,,,control,uLCO2/h/ind,5.458474,
Mesas_and_Castaneda_2023,13-02-2023,Luis_Castañeda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,Valdivia_Chile,terrestrial,terrestrial,,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,yes,,27,21,,,,,12D_12L,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,routine,0.5,,"infrared CO2 analyzer Li-6251, LI-COR ",1.4,,ethyl vinyl acetate,0.25,open,aerial,adult,adult,female,virgin female,fresh body mass,milligram,1.515,21,,,,,,,,,control,uLCO2/h/ind,3.755259,
Mesas_and_Castaneda_2023,13-02-2023,Luis_Castañeda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,Valdivia_Chile,terrestrial,terrestrial,,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,yes,,27,21,,,,,12D_12L,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,routine,0.5,,"infrared CO2 analyzer Li-6251, LI-COR ",1.4,,ethyl vinyl acetate,0.25,open,aerial,adult,adult,female,virgin female,fresh body mass,milligram,1.651,21,,,,,,,,,control,uLCO2/h/ind,5.15265,
Mesas_and_Castaneda_2023,13-02-2023,Luis_Castañeda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,Valdivia_Chile,terrestrial,terrestrial,,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,yes,,27,21,,,,,12D_12L,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,routine,0.5,,"infrared CO2 analyzer Li-6251, LI-COR ",1.4,,ethyl vinyl acetate,0.25,open,aerial,adult,adult,female,virgin female,fresh body mass,milligram,1.568,21,,,,,,,,,control,uLCO2/h/ind,3.72545,
Mesas_and_Castaneda_2023,13-02-2023,Luis_Castañeda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,Valdivia_Chile,terrestrial,terrestrial,,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,yes,,27,21,,,,,12D_12L,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,routine,0.5,,"infrared CO2 analyzer Li-6251, LI-COR ",1.4,,ethyl vinyl acetate,0.25,open,aerial,adult,adult,female,virgin female,fresh body mass,milligram,1.571,21,,,,,,,,,control,uLCO2/h/ind,2.223494,
Mesas_and_Castaneda_2023,13-02-2023,Luis_Castañeda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,Valdivia_Chile,terrestrial,terrestrial,,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,yes,,27,21,,,,,12D_12L,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,routine,0.5,,"infrared CO2 analyzer Li-6251, LI-COR ",1.4,,ethyl vinyl acetate,0.25,open,aerial,adult,adult,female,virgin female,fresh body mass,milligram,1.48,21,,,,,,,,,control,uLCO2/h/ind,3.216654,
